Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_v3.x","Arduino_Nano_pads",173.425000,-71.890000,90.000000,bottom
"C1","0.1uF","C_0805_2012Metric",118.000000,-116.500000,180.000000,bottom
"C2","0.1uF","C_0805_2012Metric",120.950000,-123.000000,180.000000,bottom
"C3","10uF","C_0805_2012Metric",120.900000,-120.900000,180.000000,bottom
"C4","0.1uF","C_0805_2012Metric",137.900000,-60.705000,90.000000,bottom
"C5","1uF","C_0805_2012Metric",140.100000,-60.705000,90.000000,bottom
"IC1","AS5600-ASOM","SOIC127P600X175-8N",145.000000,-61.600000,0.000000,bottom
"J2","Conn_01x03_Pin","PinSocket_1x03_P1.27mm_Vertical",113.500000,-112.500000,0.000000,bottom
"J3","Conn_01x06_Pin","Molex_CLIK-Mate_502382-0670_1x06-1MP_P1.25mm_Vertical",121.200000,-60.250000,0.000000,bottom
"R1","100k","R_0805_2012Metric",117.600000,-121.087500,-90.000000,bottom
"R2","100k","R_0805_2012Metric",114.000000,-120.000000,-90.000000,bottom
"R3","100k","R_0805_2012Metric",111.000000,-118.000000,-90.000000,bottom
"R4","100k","R_0805_2012Metric",123.212500,-110.700000,0.000000,bottom
"R5","100k","R_0805_2012Metric",123.212500,-112.900000,0.000000,bottom
"R6","100k","R_0805_2012Metric",123.187500,-115.000000,0.000000,bottom
"R7","0.12","R_0805_2012Metric",116.500000,-114.500000,0.000000,bottom
"R8","10k","R_0805_2012Metric",145.100000,-65.505000,180.000000,bottom
"R9","10k","R_0805_2012Metric",144.900000,-57.705000,180.000000,bottom
"U1","TMC6300-LA-T","21-100586_K2033&plus_1C_ADI",118.077600,-111.300001,-90.000000,bottom
"J7","UE25BE5510H","AMPHENOL_UE25BE5510H",121.200000,-62.000000,180.000000,top
